,Book,Book_no,POS,Section,lemma,sentence_num,stop,word,word_num
4599,ADI PARVA,1.0,ADJ,I,submissive,103.0,0.0,submissive,100.0
4646,ADI PARVA,1.0,ADJ,I,virgin,103.0,0.0,virgin,147.0
5513,ADI PARVA,1.0,ADJ,I,bent,124.0,0.0,bent,11.0
5583,ADI PARVA,1.0,ADJ,I,forcible,125.0,0.0,forcible,17.0
5655,ADI PARVA,1.0,ADJ,I,celestial,126.0,0.0,celestial,12.0
6481,ADI PARVA,1.0,ADJ,I,free,144.0,0.0,free,38.0
6608,ADI PARVA,1.0,ADJ,I,noble,147.0,0.0,noble,20.0
6612,ADI PARVA,1.0,ADJ,I,single,147.0,0.0,single,24.0
7635,ADI PARVA,1.0,ADJ,I,jubilant,171.0,0.0,jubilant,17.0
7691,ADI PARVA,1.0,ADJ,I,celebrated,172.0,0.0,celebrated,30.0
14857,ADI PARVA,1.0,ADJ,II,great,126.0,0.0,great,228.0
15163,ADI PARVA,1.0,ADJ,II,celestial,130.0,0.0,celestial,54.0
15192,ADI PARVA,1.0,ADJ,II,holy,130.0,0.0,holy,83.0
16147,ADI PARVA,1.0,ADJ,II,immeasurable,140.0,0.0,immeasurable,104.0
17022,ADI PARVA,1.0,ADJ,II,many,152.0,1.0,many,63.0
17023,ADI PARVA,1.0,ADJ,II,celestial,152.0,0.0,celestial,64.0
17029,ADI PARVA,1.0,ADJ,II,terrible,152.0,0.0,terrible,70.0
17072,ADI PARVA,1.0,ADJ,II,celestial,152.0,0.0,celestial,113.0
17796,ADI PARVA,1.0,ADJ,II,single,163.0,0.0,single,162.0
17798,ADI PARVA,1.0,ADJ,II,handed,163.0,0.0,handed,164.0
17940,ADI PARVA,1.0,ADJ,II,same,167.0,1.0,same,27.0
19412,ADI PARVA,1.0,ADJ,II,great,206.0,0.0,great,4.0
19647,ADI PARVA,1.0,ADJ,II,mutual,211.0,0.0,mutual,100.0
19701,ADI PARVA,1.0,ADJ,II,great,213.0,0.0,great,5.0
21648,ADI PARVA,1.0,ADJ,II,great,281.0,0.0,great,37.0
22379,ADI PARVA,1.0,ADJ,II,despondent,303.0,0.0,despondent,7.0
22382,ADI PARVA,1.0,ADJ,II,pursuant,303.0,0.0,pursuant,10.0
88815,ADI PARVA,1.0,ADJ,LXI,heroic,46.0,0.0,heroic,14.0
88918,ADI PARVA,1.0,ADJ,LXI,capable,49.0,0.0,capable,27.0
88986,ADI PARVA,1.0,ADJ,LXI,certain,51.0,0.0,certain,11.0
89068,ADI PARVA,1.0,ADJ,LXI,good,54.0,0.0,best,5.0
89223,ADI PARVA,1.0,ADJ,LXI,great,57.0,0.0,great,14.0
106802,ADI PARVA,1.0,ADJ,LXVII,mighty,107.0,0.0,mighty,31.0
107845,ADI PARVA,1.0,ADJ,LXVII,own,145.0,1.0,own,22.0
176252,ADI PARVA,1.0,ADJ,CXI,own,36.0,1.0,own,10.0
194090,ADI PARVA,1.0,ADJ,CXXIV,third,28.0,1.0,third,23.0
198945,ADI PARVA,1.0,ADJ,CXXVIII,young,32.0,0.0,younger,37.0
198955,ADI PARVA,1.0,ADJ,CXXVIII,sole,32.0,0.0,sole,47.0
207536,ADI PARVA,1.0,ADJ,CXXXIV,silent,8.0,0.0,silent,17.0
208340,ADI PARVA,1.0,ADJ,CXXXIV,mighty,28.0,0.0,mighty,3.0
209092,ADI PARVA,1.0,ADJ,CXXXIV,particular,48.0,0.0,particular,4.0
209604,ADI PARVA,1.0,ADJ,CXXXIV,happy,59.0,0.0,happy,6.0
209780,ADI PARVA,1.0,ADJ,CXXXIV,same,64.0,1.0,same,7.0
209783,ADI PARVA,1.0,ADJ,CXXXIV,mighty,64.0,0.0,mighty,10.0
210607,ADI PARVA,1.0,ADJ,CXXXV,pleased,7.0,0.0,pleased,11.0
212911,ADI PARVA,1.0,ADJ,CXXXVII,whole,9.0,1.0,whole,6.0
213335,ADI PARVA,1.0,ADJ,CXXXVII,tall,25.0,0.0,tall,12.0
213487,ADI PARVA,1.0,ADJ,CXXXVII,profound,29.0,0.0,profound,12.0
214369,ADI PARVA,1.0,ADJ,CXXXVIII,single,20.0,0.0,single,15.0
217274,ADI PARVA,1.0,ADJ,CXL,sinless,28.0,0.0,sinless,2.0
217378,ADI PARVA,1.0,ADJ,CXL,hostile,30.0,0.0,hostile,20.0
217384,ADI PARVA,1.0,ADJ,CXL,proficient,30.0,0.0,proficient,26.0
217609,ADI PARVA,1.0,ADJ,CXL,terrible,37.0,0.0,terrible,14.0
217696,ADI PARVA,1.0,ADJ,CXL,furious,40.0,0.0,furious,4.0
217754,ADI PARVA,1.0,ADJ,CXL,illustrious,42.0,0.0,illustrious,8.0
217958,ADI PARVA,1.0,ADJ,CXL,other,49.0,1.0,other,35.0
217965,ADI PARVA,1.0,ADJ,CXL,great,50.0,0.0,great,4.0
218008,ADI PARVA,1.0,ADJ,CXL,mighty,51.0,0.0,mighty,24.0
