,Book,Book_no,POS,Section,lemma,sentence_num,stop,word,word_num
4019,ADI PARVA,1.0,PROPN,I,Arjuna,90.0,0.0,Arjuna,13.0
4596,ADI PARVA,1.0,PROPN,I,Arjuna,103.0,0.0,Arjuna,97.0
4643,ADI PARVA,1.0,PROPN,I,Arjuna,103.0,0.0,Arjuna,144.0
4647,ADI PARVA,1.0,PROPN,I,Krishna,103.0,0.0,Krishna,148.0
4786,ADI PARVA,1.0,PROPN,I,Bhimasena,105.0,0.0,Bhimasena,68.0
4788,ADI PARVA,1.0,PROPN,I,Arjuna,105.0,0.0,Arjuna,70.0
4791,ADI PARVA,1.0,PROPN,I,Jarasandha,105.0,0.0,Jarasandha,73.0
5510,ADI PARVA,1.0,PROPN,I,Arjuna,124.0,0.0,Arjuna,8.0
5588,ADI PARVA,1.0,PROPN,I,Arjuna,125.0,0.0,Arjuna,22.0
5593,ADI PARVA,1.0,PROPN,I,Dwaraka,125.0,0.0,Dwaraka,27.0
5651,ADI PARVA,1.0,PROPN,I,Arjuna,126.0,0.0,Arjuna,8.0
5755,ADI PARVA,1.0,PROPN,I,Arjuna,128.0,0.0,Arjuna,5.0
6197,ADI PARVA,1.0,PROPN,I,Arjuna,136.0,0.0,Arjuna,5.0
6258,ADI PARVA,1.0,PROPN,I,Arjuna,137.0,0.0,Arjuna,9.0
6301,ADI PARVA,1.0,PROPN,I,Arjuna,140.0,0.0,Arjuna,9.0
6305,ADI PARVA,1.0,PROPN,I,Kalakeyas,140.0,0.0,Kalakeyas,13.0
6352,ADI PARVA,1.0,PROPN,I,Arjuna,141.0,0.0,Arjuna,5.0
6483,ADI PARVA,1.0,PROPN,I,Arjuna,144.0,0.0,Arjuna,40.0
6609,ADI PARVA,1.0,PROPN,I,Arjuna,147.0,0.0,Arjuna,21.0
6705,ADI PARVA,1.0,PROPN,I,Uttara,149.0,0.0,Uttara,18.0
6710,ADI PARVA,1.0,PROPN,I,Arjuna,149.0,0.0,Arjuna,23.0
6713,ADI PARVA,1.0,PROPN,I,Arjuna,149.0,0.0,Arjuna,26.0
6710,ADI PARVA,1.0,PROPN,I,Arjuna,149.0,0.0,Arjuna,23.0
6713,ADI PARVA,1.0,PROPN,I,Arjuna,149.0,0.0,Arjuna,26.0
6794,ADI PARVA,1.0,PROPN,I,Krishna,152.0,0.0,Krishna,8.0
6796,ADI PARVA,1.0,PROPN,I,Arjuna,152.0,0.0,Arjuna,10.0
6801,ADI PARVA,1.0,PROPN,I,Nara,152.0,0.0,Nara,15.0
