,Book_no,Book,Section,Vasusena_count,Karna_count,Suta's son_count,Radheya_count,Vrisha_count,Vaikartana_count,Karna_total_count
0,1,ADI PARVA,I,0,8,0,0,0,0,8
1,1,ADI PARVA,II,0,15,0,0,1,0,16
2,1,ADI PARVA,III,0,0,0,0,0,0,0
3,1,ADI PARVA,IV,0,0,0,0,0,0,0
4,1,ADI PARVA,V,0,0,0,0,0,0,0
5,1,ADI PARVA,VI,0,0,0,0,0,0,0
6,1,ADI PARVA,VII,0,0,0,0,0,0,0
7,1,ADI PARVA,VIII,0,0,0,0,0,0,0
8,1,ADI PARVA,IX,0,0,0,0,0,0,0
9,1,ADI PARVA,X,0,0,0,0,0,0,0
10,1,ADI PARVA,XI,0,0,0,0,0,0,0
11,1,ADI PARVA,XII,0,0,0,0,0,0,0
12,1,ADI PARVA,XIII,0,0,0,0,0,0,0
13,1,ADI PARVA,XIV,0,0,0,0,0,0,0
14,1,ADI PARVA,XV,0,0,0,0,0,0,0
15,1,ADI PARVA,XVI,0,0,0,0,0,0,0
16,1,ADI PARVA,XVII,0,0,0,0,0,0,0
17,1,ADI PARVA,XVIII,0,0,0,0,0,0,0
18,1,ADI PARVA,XIX,0,0,0,0,0,0,0
19,1,ADI PARVA,XX,0,0,0,0,0,0,0
20,1,ADI PARVA,XXI,0,0,0,0,0,0,0
21,1,ADI PARVA,XXII,0,0,0,0,0,0,0
22,1,ADI PARVA,XXIII,0,0,0,0,0,0,0
23,1,ADI PARVA,XXIV,0,0,0,0,0,0,0
24,1,ADI PARVA,XXV,0,0,0,0,0,0,0
25,1,ADI PARVA,XXVI,0,0,0,0,0,0,0
26,1,ADI PARVA,XXVII,0,0,0,0,0,0,0
27,1,ADI PARVA,XXVIII,0,0,0,0,0,0,0
28,1,ADI PARVA,XXIX,0,0,0,0,0,0,0
29,1,ADI PARVA,XXX,0,0,0,0,0,0,0
30,1,ADI PARVA,XXXI,0,0,0,0,0,0,0
31,1,ADI PARVA,XXXII,0,0,0,0,0,0,0
32,1,ADI PARVA,XXXIII,0,0,0,0,0,0,0
33,1,ADI PARVA,XXXIV,0,0,0,0,0,0,0
34,1,ADI PARVA,XXXV,0,0,0,0,0,0,0
35,1,ADI PARVA,XXXVI,0,0,0,0,0,0,0
36,1,ADI PARVA,XXXVII,0,0,0,0,0,0,0
37,1,ADI PARVA,XXXVIII,0,0,0,0,0,0,0
38,1,ADI PARVA,XXXIX,0,0,0,0,0,0,0
39,1,ADI PARVA,XL,0,0,0,0,0,0,0
40,1,ADI PARVA,XLI,0,0,0,0,0,0,0
41,1,ADI PARVA,XLII,0,0,0,0,0,0,0
42,1,ADI PARVA,XLIII,0,0,0,0,0,0,0
43,1,ADI PARVA,XLIV,0,0,0,0,0,0,0
44,1,ADI PARVA,XLV,0,0,0,0,0,0,0
45,1,ADI PARVA,XLVI,0,0,0,0,0,0,0
46,1,ADI PARVA,XLVII,0,0,0,0,0,0,0
47,1,ADI PARVA,XLVIII,0,0,0,0,0,0,0
48,1,ADI PARVA,XLIX,0,0,0,0,0,0,0
49,1,ADI PARVA,L,0,0,0,0,0,0,0
50,1,ADI PARVA,LI,0,0,0,0,0,0,0
51,1,ADI PARVA,LII,0,0,0,0,0,0,0
52,1,ADI PARVA,LIII,0,0,0,0,0,0,0
53,1,ADI PARVA,LIV,0,0,0,0,0,0,0
54,1,ADI PARVA,LV,0,0,0,0,0,0,0
55,1,ADI PARVA,LVI,0,0,0,0,0,0,0
56,1,ADI PARVA,LVII,0,0,0,0,0,0,0
57,1,ADI PARVA,LVIII,0,0,0,0,0,0,0
58,1,ADI PARVA,LIX,0,0,0,0,0,0,0
59,1,ADI PARVA,LX,0,0,0,0,0,0,0
60,1,ADI PARVA,LXI,0,2,0,0,1,0,3
61,1,ADI PARVA,LXII,0,0,0,0,0,0,0
62,1,ADI PARVA,LXIII,0,0,0,0,0,0,0
63,1,ADI PARVA,LXIV,0,0,0,0,0,0,0
64,1,ADI PARVA,LXV,0,0,0,0,1,0,1
65,1,ADI PARVA,LXVI,0,0,0,0,0,0,0
66,1,ADI PARVA,LXVII,2,3,0,0,2,0,7
67,1,ADI PARVA,LXVIII,0,0,0,0,0,0,0
68,1,ADI PARVA,LXIX,0,0,0,0,0,0,0
69,1,ADI PARVA,LXX,0,0,0,0,0,0,0
70,1,ADI PARVA,LXXI,0,0,0,0,0,0,0
71,1,ADI PARVA,LXXII,0,0,0,0,0,0,0
72,1,ADI PARVA,LXXIII,0,0,0,0,0,0,0
73,1,ADI PARVA,LXXIV,0,0,0,0,0,0,0
74,1,ADI PARVA,LXXV,0,0,0,0,0,0,0
75,1,ADI PARVA,LXXVI,0,0,0,0,3,0,3
76,1,ADI PARVA,LXXVII,0,0,0,0,0,0,0
77,1,ADI PARVA,LXXVIII,0,0,0,0,7,0,7
78,1,ADI PARVA,LXXIX,0,0,0,0,1,0,1
79,1,ADI PARVA,LXXX,0,0,0,0,7,0,7
80,1,ADI PARVA,LXXXI,0,0,0,0,2,0,2
81,1,ADI PARVA,LXXXII,0,0,0,0,4,0,4
82,1,ADI PARVA,LXXXIII,0,0,0,0,2,0,2
83,1,ADI PARVA,LXXXIV,0,0,0,0,0,0,0
84,1,ADI PARVA,LXXXV,0,0,0,0,0,0,0
85,1,ADI PARVA,LXXXVI,0,0,0,0,0,0,0
86,1,ADI PARVA,LXXXVII,0,0,0,0,0,0,0
87,1,ADI PARVA,LXXXVIII,0,0,0,0,0,0,0
88,1,ADI PARVA,LXXXIX,0,0,0,0,0,0,0
89,1,ADI PARVA,XC,0,0,0,0,0,0,0
90,1,ADI PARVA,XCI,0,0,0,0,0,0,0
91,1,ADI PARVA,XCII,0,0,0,0,0,0,0
92,1,ADI PARVA,XCIII,0,0,0,0,0,0,0
93,1,ADI PARVA,XCIV,0,0,0,0,0,0,0
94,1,ADI PARVA,XCV,0,0,0,0,2,0,2
95,1,ADI PARVA,XCVI,0,0,0,0,0,0,0
96,1,ADI PARVA,XCVII,0,0,0,0,0,0,0
97,1,ADI PARVA,XCVIII,0,0,0,0,0,0,0
98,1,ADI PARVA,XCIX,0,0,0,0,0,0,0
99,1,ADI PARVA,C,0,0,0,0,0,0,0
100,1,ADI PARVA,CI,0,0,0,0,0,0,0
101,1,ADI PARVA,CII,0,0,0,0,0,0,0
102,1,ADI PARVA,CIII,0,0,0,0,0,0,0
103,1,ADI PARVA,CIV,0,0,0,0,1,0,1
104,1,ADI PARVA,CV,0,0,0,0,0,0,0
105,1,ADI PARVA,CVI,0,0,0,0,0,0,0
106,1,ADI PARVA,CVII,0,0,0,0,0,0,0
107,1,ADI PARVA,CVIII,0,0,0,0,0,0,0
108,1,ADI PARVA,CIX,0,0,0,0,0,0,0
109,1,ADI PARVA,CX,0,0,0,0,0,0,0
110,1,ADI PARVA,CXI,4,5,0,0,0,0,9
111,1,ADI PARVA,CXII,0,0,0,0,0,0,0
112,1,ADI PARVA,CXIII,0,0,0,0,0,0,0
113,1,ADI PARVA,CXIV,0,0,0,0,0,0,0
114,1,ADI PARVA,CXV,0,1,0,0,0,0,1
115,1,ADI PARVA,CXVI,0,0,0,0,0,0,0
116,1,ADI PARVA,CXVII,0,2,0,0,0,0,2
117,1,ADI PARVA,CXVIII,0,0,0,0,0,0,0
118,1,ADI PARVA,CXIX,0,0,0,0,0,0,0
119,1,ADI PARVA,CXX,0,0,0,0,0,0,0
120,1,ADI PARVA,CXXI,0,0,0,0,0,0,0
121,1,ADI PARVA,CXXII,0,0,0,0,0,0,0
122,1,ADI PARVA,CXXIII,0,0,0,0,0,0,0
123,1,ADI PARVA,CXXIV,0,0,0,0,0,0,0
124,1,ADI PARVA,CXXV,0,0,0,0,0,0,0
125,1,ADI PARVA,CXXVI,0,0,0,0,0,0,0
126,1,ADI PARVA,CXXVII,0,0,0,0,0,0,0
127,1,ADI PARVA,CXXVIII,0,0,0,0,0,0,0
128,1,ADI PARVA,CXXIX,0,1,0,0,0,0,1
129,1,ADI PARVA,CXXX,0,0,0,0,0,0,0
130,1,ADI PARVA,CXXXI,0,0,0,0,0,0,0
131,1,ADI PARVA,CXXXII,0,0,0,0,0,0,0
132,1,ADI PARVA,CXXXIII,0,0,0,0,0,0,0
133,1,ADI PARVA,CXXXIV,0,2,0,0,0,0,2
134,1,ADI PARVA,CXXXV,0,0,0,0,0,0,0
135,1,ADI PARVA,CXXXVI,0,0,0,0,0,0,0
136,1,ADI PARVA,CXXXVII,0,0,0,0,0,0,0
137,1,ADI PARVA,CXXXVIII,0,16,0,0,0,0,16
138,1,ADI PARVA,CXXXIX,0,13,0,0,0,0,13
139,1,ADI PARVA,CXL,0,2,0,0,0,0,2
140,1,ADI PARVA,CXLI,0,0,0,0,0,0,0
141,1,ADI PARVA,CXLII,0,0,0,0,0,0,0
142,1,ADI PARVA,CXLIII,0,1,0,0,0,0,1
143,1,ADI PARVA,CXLIV,0,1,0,0,0,0,1
144,1,ADI PARVA,CXLV,0,0,0,0,0,0,0
145,1,ADI PARVA,CXLVI,0,0,0,0,0,0,0
146,1,ADI PARVA,CXLVII,0,0,0,0,0,0,0
147,1,ADI PARVA,CXLVIII,0,0,0,0,0,0,0
148,1,ADI PARVA,CXLIX,0,0,0,0,0,0,0
149,1,ADI PARVA,CL,0,0,0,0,0,0,0
150,1,ADI PARVA,CLI,0,1,0,0,0,0,1
151,1,ADI PARVA,CLII,0,0,0,0,0,0,0
152,1,ADI PARVA,CLIII,0,1,0,0,0,0,1
153,1,ADI PARVA,CLIV,0,0,0,0,0,0,0
154,1,ADI PARVA,CLV,0,0,0,0,0,0,0
155,1,ADI PARVA,CLVI,0,0,0,0,0,0,0
156,1,ADI PARVA,CLVII,0,2,0,0,0,0,2
157,1,ADI PARVA,CLVIII,0,0,0,0,0,0,0
158,1,ADI PARVA,CLIX,0,0,0,0,0,0,0
159,1,ADI PARVA,CLX,0,0,0,0,0,0,0
160,1,ADI PARVA,CLXI,0,0,0,0,0,0,0
161,1,ADI PARVA,CLXII,0,0,0,0,0,0,0
162,1,ADI PARVA,CLXIII,0,0,0,0,0,0,0
163,1,ADI PARVA,CLXIV,0,0,0,0,0,0,0
164,1,ADI PARVA,CLXV,0,0,0,0,0,0,0
165,1,ADI PARVA,CLXVI,0,0,0,0,0,0,0
166,1,ADI PARVA,CLXVII,0,0,0,0,0,0,0
167,1,ADI PARVA,CLXVIII,0,0,0,0,0,0,0
168,1,ADI PARVA,CLXIX,0,0,0,0,0,0,0
169,1,ADI PARVA,CLXX,0,0,0,0,0,0,0
170,1,ADI PARVA,CLXXI,0,0,0,0,0,0,0
