,Book,Book_no,POS,Section,lemma,sentence_num,stop,word,word_num
3302,ADI PARVA,1.0,ADJ,I,fair,76.0,0.0,fair,86.0
8095,ADI PARVA,1.0,ADJ,I,same,183.0,1.0,same,29.0
8325,ADI PARVA,1.0,ADJ,I,brave,190.0,0.0,brave,10.0
8328,ADI PARVA,1.0,ADJ,I,invincible,190.0,0.0,invincible,13.0
17461,ADI PARVA,1.0,ADJ,II,gratified,157.0,0.0,gratified,35.0
18512,ADI PARVA,1.0,ADJ,II,same,181.0,1.0,same,57.0
19507,ADI PARVA,1.0,ADJ,II,wonderful,208.0,0.0,wonderful,6.0
19556,ADI PARVA,1.0,ADJ,II,other,211.0,1.0,other,9.0
19562,ADI PARVA,1.0,ADJ,II,harsh,211.0,0.0,harsh,15.0
19630,ADI PARVA,1.0,ADJ,II,single,211.0,0.0,single,83.0
19701,ADI PARVA,1.0,ADJ,II,great,213.0,0.0,great,5.0
19704,ADI PARVA,1.0,ADJ,II,single,213.0,0.0,single,8.0
87712,ADI PARVA,1.0,ADJ,LXI,former,10.0,1.0,former,15.0
175947,ADI PARVA,1.0,ADJ,CXI,heroic,28.0,0.0,heroic,6.0
175951,ADI PARVA,1.0,ADJ,CXI,first,28.0,1.0,first,10.0
176282,ADI PARVA,1.0,ADJ,CXI,natural,36.0,0.0,natural,40.0
176291,ADI PARVA,1.0,ADJ,CXI,natural,37.0,0.0,natural,7.0
176332,ADI PARVA,1.0,ADJ,CXI,gratified,38.0,0.0,gratified,16.0
213822,ADI PARVA,1.0,ADJ,CXXXVIII,hostile,2.0,0.0,hostile,25.0
213884,ADI PARVA,1.0,ADJ,CXXXVIII,eyed,3.0,0.0,eyed,13.0
214239,ADI PARVA,1.0,ADJ,CXXXVIII,mighty,14.0,0.0,mighty,12.0
214482,ADI PARVA,1.0,ADJ,CXXXVIII,thine,24.0,0.0,thine,22.0
214626,ADI PARVA,1.0,ADJ,CXXXVIII,other,31.0,1.0,other,3.0
214763,ADI PARVA,1.0,ADJ,CXXXVIII,visible,34.0,0.0,visible,18.0
215225,ADI PARVA,1.0,ADJ,CXXXVIII,mighty,49.0,0.0,mighty,30.0
216083,ADI PARVA,1.0,ADJ,CXXXIX,intolerable,22.0,0.0,intolerable,20.0
216300,ADI PARVA,1.0,ADJ,CXXXIX,heroic,30.0,0.0,heroic,3.0
216540,ADI PARVA,1.0,ADJ,CXL,mighty,6.0,0.0,mighty,7.0
217093,ADI PARVA,1.0,ADJ,CXL,mighty,20.0,0.0,mighty,31.0
217096,ADI PARVA,1.0,ADJ,CXL,many,20.0,1.0,many,34.0
217097,ADI PARVA,1.0,ADJ,CXL,other,20.0,1.0,other,35.0
217098,ADI PARVA,1.0,ADJ,CXL,heroic,20.0,0.0,heroic,36.0
225724,ADI PARVA,1.0,ADJ,CXLIII,pensive,27.0,0.0,pensive,26.0
225726,ADI PARVA,1.0,ADJ,CXLIII,sad,27.0,0.0,sad,28.0
241997,ADI PARVA,1.0,ADJ,CLVII,fit,61.0,0.0,fit,12.0
282096,ADI PARVA,1.0,ADJ,CLXLII,furious,5.0,0.0,furious,11.0
282174,ADI PARVA,1.0,ADJ,CLXLII,great,8.0,0.0,great,5.0
282286,ADI PARVA,1.0,ADJ,CLXLII,fierce,11.0,0.0,fierce,13.0
282296,ADI PARVA,1.0,ADJ,CLXLII,faint,11.0,0.0,faint,23.0
282296,ADI PARVA,1.0,ADJ,CLXLII,faint,11.0,0.0,faint,23.0
282304,ADI PARVA,1.0,ADJ,CLXLII,great,12.0,0.0,greater,7.0
282473,ADI PARVA,1.0,ADJ,CLXLII,loud,21.0,0.0,loud,20.0
296672,ADI PARVA,1.0,ADJ,CCIII,hast,5.0,0.0,hast,45.0
297319,ADI PARVA,1.0,ADJ,CCIII,bad,29.0,0.0,bad,10.0
300409,ADI PARVA,1.0,ADJ,CCVII,good,7.0,0.0,good,15.0
405310,SABHA PARVA,2.0,ADJ,XLVII,great,17.0,0.0,great,26.0
428467,SABHA PARVA,2.0,ADJ,LXVI,glad,79.0,0.0,glad,47.0
444648,SABHA PARVA,2.0,ADJ,LXXVI,wicked,40.0,0.0,wicked,19.0
444688,SABHA PARVA,2.0,ADJ,LXXVI,malicious,42.0,0.0,malicious,20.0
444690,SABHA PARVA,2.0,ADJ,LXXVI,jealous,42.0,0.0,jealous,22.0
450288,SABHA PARVA,2.0,ADJ,LXXX,cruel,14.0,0.0,cruel,75.0
463411,VANA PARVA,3.0,ADJ,VII,beautiful,19.0,0.0,beautiful,11.0
474036,VANA PARVA,3.0,ADJ,XII,unmoved,154.0,0.0,unmoved,6.0
474045,VANA PARVA,3.0,ADJ,XII,incapable,155.0,0.0,incapable,8.0
