,Book,Book_no,POS,Section,lemma,sentence_num,stop,word,word_num
3299,ADI PARVA,1.0,PROPN,I,Karna,76.0,0.0,Karna,83.0
6459,ADI PARVA,1.0,PROPN,I,Karna,144.0,0.0,Karna,16.0
7914,ADI PARVA,1.0,PROPN,I,Karna,179.0,0.0,Karna,5.0
7972,ADI PARVA,1.0,PROPN,I,Kritavarma,180.0,0.0,Kritavarma,7.0
7974,ADI PARVA,1.0,PROPN,I,Kripa,180.0,0.0,Kripa,9.0
7976,ADI PARVA,1.0,PROPN,I,Karna,180.0,0.0,Karna,11.0
8028,ADI PARVA,1.0,PROPN,I,Indra,182.0,0.0,Indra,13.0
8031,ADI PARVA,1.0,PROPN,I,Karna,182.0,0.0,Karna,16.0
8035,ADI PARVA,1.0,PROPN,I,Madhava,182.0,0.0,Madhava,20.0
8078,ADI PARVA,1.0,PROPN,I,Karna,183.0,0.0,Karna,12.0
8080,ADI PARVA,1.0,PROPN,I,Ghatotkacha,183.0,0.0,Ghatotkacha,14.0
8083,ADI PARVA,1.0,PROPN,I,Sakti,183.0,0.0,Sakti,17.0
8090,ADI PARVA,1.0,PROPN,I,Ghatotkacha,183.0,0.0,Ghatotkacha,24.0
8092,ADI PARVA,1.0,PROPN,I,Karna,183.0,0.0,Karna,26.0
8326,ADI PARVA,1.0,PROPN,I,Karna,190.0,0.0,Karna,11.0
13276,ADI PARVA,1.0,PROPN,II,Karna,85.0,0.0,Karna,15.0
13513,ADI PARVA,1.0,PROPN,II,Karna,98.0,0.0,Karna,7.0
13517,ADI PARVA,1.0,PROPN,II,Salya,98.0,0.0,Salya,11.0
15907,ADI PARVA,1.0,PROPN,II,Karna,139.0,0.0,Karna,142.0
16400,ADI PARVA,1.0,PROPN,II,Karna,144.0,0.0,Karna,9.0
17440,ADI PARVA,1.0,PROPN,II,Karna,157.0,0.0,Karna,14.0
17444,ADI PARVA,1.0,PROPN,II,Indra,157.0,0.0,Indra,18.0
17458,ADI PARVA,1.0,PROPN,II,Karna,157.0,0.0,Karna,32.0
17462,ADI PARVA,1.0,PROPN,II,Indra,157.0,0.0,Indra,36.0
18483,ADI PARVA,1.0,PROPN,II,Duryodhana,181.0,0.0,Duryodhana,28.0
18485,ADI PARVA,1.0,PROPN,II,Karna,181.0,0.0,Karna,30.0
18488,ADI PARVA,1.0,PROPN,II,Krishna,181.0,0.0,Krishna,33.0
18488,ADI PARVA,1.0,PROPN,II,Krishna,181.0,0.0,Krishna,33.0
18491,ADI PARVA,1.0,PROPN,II,Karna,181.0,0.0,Karna,36.0
18507,ADI PARVA,1.0,PROPN,II,Karna,181.0,0.0,Karna,52.0
19508,ADI PARVA,1.0,PROPN,II,Parva,208.0,0.0,Parva,7.0
19510,ADI PARVA,1.0,PROPN,II,Karna,208.0,0.0,Karna,9.0
19526,ADI PARVA,1.0,PROPN,II,Madra,209.0,0.0,Madra,15.0
19529,ADI PARVA,1.0,PROPN,II,Karna,209.0,0.0,Karna,18.0
19558,ADI PARVA,1.0,PROPN,II,Karna,211.0,0.0,Karna,11.0
19560,ADI PARVA,1.0,PROPN,II,Salya,211.0,0.0,Salya,13.0
19633,ADI PARVA,1.0,PROPN,II,Karna,211.0,0.0,Karna,86.0
19698,ADI PARVA,1.0,PROPN,II,Arjuna,213.0,0.0,Arjuna,2.0
19702,ADI PARVA,1.0,PROPN,II,Karna,213.0,0.0,Karna,6.0
21049,ADI PARVA,1.0,PROPN,II,Kunti,257.0,0.0,Kunti,26.0
21053,ADI PARVA,1.0,PROPN,II,Karna,257.0,0.0,Karna,30.0
87707,ADI PARVA,1.0,PROPN,LXI,Karna,10.0,0.0,Karna,10.0
88041,ADI PARVA,1.0,PROPN,LXI,Vrisha,19.0,0.0,Vrisha,60.0
88046,ADI PARVA,1.0,PROPN,LXI,Karna,19.0,0.0,Karna,65.0
88049,ADI PARVA,1.0,PROPN,LXI,Duhsasana,19.0,0.0,Duhsasana,68.0
106115,ADI PARVA,1.0,PROPN,LXVII,Karna,90.0,0.0,Karna,1.0
106117,ADI PARVA,1.0,PROPN,LXVII,Chitra,90.0,0.0,Chitra,3.0
106119,ADI PARVA,1.0,PROPN,LXVII,Vipachitra,90.0,0.0,Vipachitra,5.0
108014,ADI PARVA,1.0,PROPN,LXVII,Karna,149.0,0.0,Karna,16.0
175925,ADI PARVA,1.0,PROPN,CXI,Karna,27.0,0.0,Karna,20.0
175948,ADI PARVA,1.0,PROPN,CXI,Karna,28.0,0.0,Karna,7.0
176287,ADI PARVA,1.0,PROPN,CXI,Karna,37.0,0.0,Karna,3.0
176334,ADI PARVA,1.0,PROPN,CXI,Karna,38.0,0.0,Karna,18.0
176438,ADI PARVA,1.0,PROPN,CXI,Karna,41.0,0.0,Karna,18.0
180629,ADI PARVA,1.0,PROPN,CXV,Karna,49.0,0.0,Karna,22.0
181571,ADI PARVA,1.0,PROPN,CXVII,Durmukha,3.0,0.0,Durmukha,57.0
181573,ADI PARVA,1.0,PROPN,CXVII,Dushkarna,3.0,0.0,Dushkarna,59.0
181576,ADI PARVA,1.0,PROPN,CXVII,Karna,3.0,0.0,Karna,62.0
181578,ADI PARVA,1.0,PROPN,CXVII,Vivinsati,3.0,0.0,Vivinsati,64.0
181580,ADI PARVA,1.0,PROPN,CXVII,Vikarna,3.0,0.0,Vikarna,66.0
181654,ADI PARVA,1.0,PROPN,CXVII,Ugrayudha,3.0,0.0,Ugrayudha,140.0
181656,ADI PARVA,1.0,PROPN,CXVII,Bhima,3.0,0.0,Bhima,142.0
181658,ADI PARVA,1.0,PROPN,CXVII,Karna,3.0,0.0,Karna,144.0
181660,ADI PARVA,1.0,PROPN,CXVII,Kanakaya,3.0,0.0,Kanakaya,146.0
201435,ADI PARVA,1.0,PROPN,CXXIX,Duryodhana,52.0,0.0,Duryodhana,40.0
201437,ADI PARVA,1.0,PROPN,CXXIX,Karna,53.0,0.0,Karna,1.0
201439,ADI PARVA,1.0,PROPN,CXXIX,Sakuni,53.0,0.0,Sakuni,3.0
207667,ADI PARVA,1.0,PROPN,CXXXIV,Suta,12.0,0.0,Suta,56.0
207671,ADI PARVA,1.0,PROPN,CXXXIV,Karna,12.0,0.0,Karna,60.0
207689,ADI PARVA,1.0,PROPN,CXXXIV,Suta,13.0,0.0,Suta,7.0
207691,ADI PARVA,1.0,PROPN,CXXXIV,Karna,13.0,0.0,Karna,9.0
213825,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,2.0,0.0,Karna,28.0
213888,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,3.0,0.0,Karna,17.0
213893,ADI PARVA,1.0,PROPN,CXXXVIII,Pritha,3.0,0.0,Pritha,22.0
214236,ADI PARVA,1.0,PROPN,CXXXVIII,Drona,14.0,0.0,Drona,9.0
214240,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,14.0,0.0,Karna,13.0
214272,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,15.0,0.0,Karna,15.0
214450,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,23.0,0.0,Karna,15.0
214485,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,24.0,0.0,Karna,25.0
214488,ADI PARVA,1.0,PROPN,CXXXVIII,thou,24.0,0.0,thou,28.0
214496,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,25.0,0.0,Karna,1.0
214629,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,31.0,0.0,Karna,6.0
214761,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,34.0,0.0,Karna,16.0
214781,ADI PARVA,1.0,PROPN,CXXXVIII,Dhritarashtra,35.0,0.0,Dhritarashtra,5.0
214784,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,35.0,0.0,Karna,8.0
214787,ADI PARVA,1.0,PROPN,CXXXVIII,Bharadwaja,35.0,0.0,Bharadwaja,11.0
214952,ADI PARVA,1.0,PROPN,CXXXVIII,Karna,40.0,0.0,Karna,43.0
